"nwspol","netusoft","netustm","ppltrst","pplfair","pplhlp","polintr","psppsgva","actrolga","psppipla","cptppola","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","vote","happy","sclmeet","inprdsc","sclact","crmvct","aesfdrk","health","hlthhmp","atchctr","atcherp","rlgblg","rlgdgr","rlgatnd","pray","dscrgrp","ctzcntr","brncntr","livecnta","feethngr","facntr","mocntr","ccrdprs","wrclmch","ctrlife","etfruit","eatveg","dosprt","cgtsmok","alcfreq","alcwkdy","alcwknd","alcbnge","height","weighta","medtrun","stflife","gndr","agea","rshpsts","ipstrgva","vacc19","prtvtebe","prtclebe"
90,"5 - Every day",180,8,7,6,"2 - Quite interested","2 - Very little","3 - Quite able","3 - Some","3 - Quite confident",7,8,8,7,6,5,5,"Yes",8,"6 - Several times a week","4-6","3 - About the same","No","2 - Safe","3 - Fair","3 - No",6,6,"No",4,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",7,"3 - Somewhat worried",8,"3 - Once a day","2 - Twice a day",5,"4 - I don’t smoke now but I used to","6 - Less than once a month",0,21.1,"5 - Never",163,66,"No",9,"Female",79,NA,"5 - Not like me","Yes",NA,NA
10,"5 - Every day",180,8,8,6,"3 - Hardly interested","3 - Some","2 - A little able","3 - Some","2 - A little confident",7,5,6,7,7,7,7,"Yes",7,"6 - Several times a week","4-6","3 - About the same","Yes","2 - Safe","1 - Very good","3 - No",5,3,"No",1,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",6,"3 - Somewhat worried",7,"3 - Once a day","2 - Twice a day",4,"6 - I have never smoked","3 - Once a week",20,80,"2 - Weekly",158,68,"No",7,"Female",24,NA,"2 - Like me","Yes","Sp.a (Vooruit)","Groen!"
10,"5 - Every day",420,5,5,4,"3 - Hardly interested","2 - Very little","1 - Not at all able","1 - Not at all","1 - Not at all confident",2,6,6,3,3,4,8,"Yes",8,"6 - Several times a week","4-6","2 - Less than most","No","3 - Unsafe","3 - Fair","2 - Yes to some extent",5,5,"No",2,"7 - Never","6 - Less often","No","Yes","Yes",NA,"Yes","Yes","Yes",5,"3 - Somewhat worried",9,"5 - Less than 4 times a week but at least once a week","4 - Less than once a day but at least 4 times a week",1,"4 - I don’t smoke now but I used to","5 - Once a month",0,26.4,"5 - Never",186,110,"No",9,"Female",37,"Legally married","4 - A little like me","Yes","Vlaams Belang",NA
45,"5 - Every day",480,8,8,6,"1 - Very interested","4 - A lot","4 - Very able","4 - A lot","3 - Quite confident",7,7,7,7,6,6,8,"Yes",8,"6 - Several times a week","4-6","4 - More than most","No","1 - Very safe","2 - Good","3 - No",8,6,"No",4,"7 - Never","7 - Never","Yes","Yes","Yes",NA,"Yes","Yes","Yes",9,"5 - Extremely worried",4,"2 - Twice a day","2 - Twice a day",5,"3 - I smoke but not every day","2 - Several times a week",19.6,39.6,"2 - Weekly",153,84,"No",8,"Female",39,"Legally married","3 - Somewhat like me","Yes","PVDA",NA
100,"5 - Every day",150,8,8,6,"1 - Very interested","1 - Not at all","3 - Quite able","3 - Some","2 - A little confident",8,8,8,7,6,6,3,"Yes",10,"4 - Several times a month","4-6","3 - About the same","No","1 - Very safe","2 - Good","3 - No",10,10,"Yes",6,"7 - Never","6 - Less often","No","Yes","Yes",NA,"Yes","Yes","Yes",10,"3 - Somewhat worried",7,"3 - Once a day","3 - Once a day",0,"5 - I have only smoked a few times","2 - Several times a week",13.2,23.2,"4 - Less than monthly",178,120,"No",9,"Male",63,"Legally married","1 - Very much like me","Yes","DéFI","cdH (Les Engagés)"
0,"5 - Every day",240,0,5,0,"4 - Not at all interested","1 - Not at all","5 - Completely able","1 - Not at all","1 - Not at all confident",5,3,3,0,0,5,5,"Yes",5,"4 - Several times a month","4-6","2 - Less than most","No","2 - Safe","2 - Good","3 - No",5,5,"No",0,"7 - Never","7 - Never","No","Yes","No",1985,"Yes","Yes","No",10,"3 - Somewhat worried",6,"2 - Twice a day","3 - Once a day",3,"6 - I have never smoked","7 - Never",NA,NA,"6 - Not applicable",160,83,"No",5,"Female",47,NA,"1 - Very much like me","Yes","Invalid",NA
75,"1 - Never",NA,5,8,7,"2 - Quite interested","3 - Some","1 - Not at all able","2 - Very little","1 - Not at all confident",6,6,8,4,3,5,7,"Yes",9,"6 - Several times a week","7-9","2 - Less than most","No","4 - Very unsafe","3 - Fair","2 - Yes to some extent",6,6,"Yes",6,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",5,"3 - Somewhat worried",7,"1 - Three times or more a day","2 - Twice a day",0,"6 - I have never smoked","6 - Less than once a month",0,72,"5 - Never",147,53,"No",9,"Female",64,"Legally married","3 - Somewhat like me","Yes","CD&V",NA
60,"5 - Every day",120,7,9,6,"4 - Not at all interested","3 - Some","2 - A little able","3 - Some","3 - Quite confident",6,8,8,8,6,5,5,"Yes",8,"6 - Several times a week","1","3 - About the same","No","2 - Safe","2 - Good","3 - No",4,3,"Yes",8,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",4,"3 - Somewhat worried",8,"3 - Once a day","3 - Once a day",0,"6 - I have never smoked","6 - Less than once a month",13.2,13.2,"5 - Never",161,68,"No",8,"Female",79,NA,"2 - Like me","Yes","CD&V",NA
30,"5 - Every day",360,7,3,1,"3 - Hardly interested","1 - Not at all","2 - A little able","2 - Very little","3 - Quite confident",7,4,3,6,7,8,8,"Not eligible to vote",9,"7 - Every day","7-9","4 - More than most","No","2 - Safe","1 - Very good","3 - No",6,3,"Yes",6,"6 - Less often","3 - Once a week","No","Yes","Yes",NA,"Yes","Yes","Yes",7,"4 - Very worried",6,"3 - Once a day","2 - Twice a day",7,"5 - I have only smoked a few times","3 - Once a week",0,120,"2 - Weekly",180,70,"No",9,"Male",16,NA,"4 - A little like me","Yes",NA,"MR"
90,"5 - Every day",360,0,0,4,"3 - Hardly interested","1 - Not at all","4 - Very able","1 - Not at all","4 - Very confident",0,2,7,0,0,0,0,"No",6,"4 - Several times a month","1","1 - Much less than most","No","2 - Safe","3 - Fair","1 - Yes a lot",0,0,"No",7,"7 - Never","6 - Less often",NA,"Yes","Yes",NA,"Yes","Yes","Yes",5,"4 - Very worried",10,"3 - Once a day","7 - Never",0,"1 - I smoke daily, 10 or more cigarettes","6 - Less than once a month",0,188,"4 - Less than monthly",170,70,"No",6,"Male",45,NA,"2 - Like me","Yes",NA,NA
