"nwspol","netusoft","netustm","ppltrst","pplfair","pplhlp","polintr","psppsgva","actrolga","psppipla","cptppola","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","vote","happy","sclmeet","inprdsc","sclact","crmvct","aesfdrk","health","hlthhmp","atchctr","atcherp","rlgblg","rlgdgr","rlgatnd","pray","dscrgrp","ctzcntr","brncntr","livecnta","feethngr","facntr","mocntr","ccrdprs","wrclmch","ctrlife","etfruit","eatveg","dosprt","cgtsmok","alcfreq","alcwkdy","alcwknd","alcbnge","height","weighta","medtrun","stflife","gndr","agea","rshpsts","ipstrgva","vacc19","prtvtebe","prtclebe"
5,"4 - Most days",240,3,4,4,"3 - Hardly interested","3 - Some","3 - Quite able","4 - A lot","2 - A little confident",8,7,9,8,6,8,9,"Not eligible to vote",5,"4 - Several times a month","1","3 - About the same","No","3 - Unsafe","2 - Good","3 - No",8,10,"Yes",7,"5 - Only on special holy days","1 - Every day","No","Yes","Yes",NA,"Yes","Yes","Yes",9,"5 - Extremely worried",2,"1 - Three times or more a day","2 - Twice a day",3,"6 - I have never smoked","7 - Never",NA,NA,"6 - Not applicable",172,58,"No",6,"Female",16,NA,"2 - Like me","Yes",NA,NA
30,"5 - Every day",330,1,1,3,"1 - Very interested","2 - Very little","3 - Quite able","4 - A lot","2 - A little confident",9,5,3,3,3,5,1,"Yes",5,"6 - Several times a week","3","4 - More than most","No","1 - Very safe","2 - Good","3 - No",4,8,"No",0,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",8,"4 - Very worried",7,"2 - Twice a day","2 - Twice a day",4,"6 - I have never smoked","5 - Once a month",13.2,26.4,"4 - Less than monthly",174,82,"No",5,"Female",29,NA,"1 - Very much like me","Yes","Ecolo",NA
60,"5 - Every day",60,7,9,8,"4 - Not at all interested","2 - Very little","1 - Not at all able","1 - Not at all","1 - Not at all confident",5,7,7,5,5,8,8,"Yes",8,"2 - Less than once a month","4-6","1 - Much less than most","No","2 - Safe","1 - Very good","3 - No",7,7,"No",9,"7 - Never","7 - Never","No","Yes","No",2007,"No","No","No",6,"2 - Not very worried",9,"2 - Twice a day","3 - Once a day",7,"6 - I have never smoked","1 - Every day",10,19.6,"4 - Less than monthly",190,95,"No",7,"Male",41,"Legally married","2 - Like me","Yes","CD&V",NA
30,"2 - Only occasionally",NA,5,5,7,"3 - Hardly interested","1 - Not at all","3 - Quite able","1 - Not at all","2 - A little confident",0,3,5,4,4,3,3,"Yes",9,"7 - Every day","4-6","4 - More than most","No","2 - Safe","2 - Good","3 - No",4,2,"No",3,"7 - Never","7 - Never","No","Yes","Yes",NA,"No","Yes","Yes",4,"3 - Somewhat worried",8,"3 - Once a day","3 - Once a day",7,"5 - I have only smoked a few times","2 - Several times a week",50,95.2,"3 - Monthly",170,70,"No",9,"Male",68,"Legally married","3 - Somewhat like me","Yes","Open VLD",NA
10,"5 - Every day",360,6,5,4,"3 - Hardly interested","2 - Very little","1 - Not at all able","1 - Not at all","1 - Not at all confident",4,3,3,3,4,5,6,"Not eligible to vote",7,"7 - Every day","4-6","2 - Less than most","Yes","3 - Unsafe","2 - Good","3 - No",3,5,"Yes",8,"3 - Once a week","1 - Every day","Yes","No","No",2012,"No","No","No",6,"4 - Very worried",8,"4 - Less than once a day but at least 4 times a week","4 - Less than once a day but at least 4 times a week",4,"6 - I have never smoked","7 - Never",NA,NA,"6 - Not applicable",170,59,"No",7,"Female",20,NA,"3 - Somewhat like me","No",NA,NA
30,"5 - Every day",60,2,7,2,"3 - Hardly interested","2 - Very little","1 - Not at all able","2 - Very little","1 - Not at all confident",4,6,8,4,3,5,4,"Yes",5,"6 - Several times a week","4-6","3 - About the same","No","3 - Unsafe","4 - Bad","3 - No",6,8,"No",2,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",0,"2 - Not very worried",2,"5 - Less than 4 times a week but at least once a week","4 - Less than once a day but at least 4 times a week",0,"4 - I don’t smoke now but I used to","1 - Every day",13.2,85.2,"4 - Less than monthly",153,76,"No",6,"Female",54,NA,"1 - Very much like me","Yes",NA,NA
60,"5 - Every day",480,8,7,4,"4 - Not at all interested","2 - Very little","1 - Not at all able","1 - Not at all","1 - Not at all confident",5,4,3,3,3,4,5,"No",6,"3 - Once a month","1","1 - Much less than most","Yes","3 - Unsafe","2 - Good","3 - No",8,8,"No",3,"7 - Never","7 - Never","No","No","No",1976,"Yes","No","No",5,"3 - Somewhat worried",7,"3 - Once a day","3 - Once a day",7,"6 - I have never smoked","7 - Never",NA,NA,"6 - Not applicable",158,82,"No",5,"Female",67,NA,"2 - Like me","Yes",NA,NA
10,"5 - Every day",60,4,6,6,"3 - Hardly interested","2 - Very little","2 - A little able","2 - Very little","2 - A little confident",3,7,8,2,2,2,2,"Yes",8,"2 - Less than once a month","1","1 - Much less than most","Yes","2 - Safe","3 - Fair","1 - Yes a lot",6,2,"No",9,"7 - Never","7 - Never","Yes","Yes","Yes",NA,"Yes","Yes","Yes",5,"2 - Not very worried",7,"3 - Once a day","3 - Once a day",7,"2 - I smoke daily, 9 or fewer cigarettes","4 - 2-3 times a month",0,19.2,"5 - Never",152,52,"No",8,"Female",58,"Legally married","1 - Very much like me","Yes","N-VA",NA
120,"5 - Every day",210,6,6,4,"1 - Very interested","2 - Very little","2 - A little able","2 - Very little","2 - A little confident",7,5,8,6,4,9,9,"Yes",8,"5 - Once a week","4-6","4 - More than most","Yes","2 - Safe","3 - Fair","3 - No",10,8,"No",2,"7 - Never","7 - Never","No","Yes","Yes",NA,"No","Yes","Yes",8,"4 - Very worried",8,"5 - Less than 4 times a week but at least once a week","3 - Once a day",7,"6 - I have never smoked","6 - Less than once a month",6.6,6.6,"5 - Never",162,55,"No",7,"Female",62,"Living with my partner - not legally recognised","1 - Very much like me","Yes","N-VA","N-VA"
90,"4 - Most days",600,8,8,1,"4 - Not at all interested","1 - Not at all","1 - Not at all able","1 - Not at all","1 - Not at all confident",2,2,5,2,2,2,2,"Yes",9,"6 - Several times a week","2","4 - More than most","Yes","3 - Unsafe","2 - Good","2 - Yes to some extent",9,5,"No",0,"7 - Never","7 - Never","No","Yes","Yes",NA,"No","Yes","Yes",0,"2 - Not very worried",2,"4 - Less than once a day but at least 4 times a week","3 - Once a day",0,"6 - I have never smoked","1 - Every day",39.6,79.2,"2 - Weekly",160,63,"No",8,"Female",65,"Legally married","2 - Like me","Yes",NA,NA
5,"5 - Every day",240,2,7,3,"3 - Hardly interested",NA,"2 - A little able","3 - Some","3 - Quite confident",NA,5,7,5,4,4,4,"Not eligible to vote",5,"7 - Every day","1","4 - More than most","No","1 - Very safe","1 - Very good","3 - No",7,7,"No",2,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",10,"5 - Extremely worried",6,"4 - Less than once a day but at least 4 times a week","2 - Twice a day",6,"5 - I have only smoked a few times","2 - Several times a week",60,100,"4 - Less than monthly",188,71,"No",6,"Male",20,NA,"5 - Not like me","Yes",NA,"Ecolo"
60,"5 - Every day",60,6,8,5,"3 - Hardly interested","1 - Not at all","1 - Not at all able","1 - Not at all","1 - Not at all confident",3,3,6,3,3,3,3,"Yes",8,"6 - Several times a week","4-6","1 - Much less than most","No","2 - Safe","2 - Good","1 - Yes a lot",10,10,"Yes",10,"7 - Never","1 - Every day","No","Yes","Yes",NA,"Yes","Yes","Yes",6,"3 - Somewhat worried",8,"3 - Once a day","3 - Once a day",0,"6 - I have never smoked","1 - Every day",9.8,9.8,"1 - Daily or almost daily",NA,NA,"No",10,"Female",78,NA,"2 - Like me","Yes","CD&V","Sp.a (Vooruit)"
60,"5 - Every day",180,7,6,5,"2 - Quite interested","2 - Very little","3 - Quite able","2 - Very little","3 - Quite confident",6,6,6,5,5,4,6,"Not eligible to vote",7,"4 - Several times a month","4-6","2 - Less than most","No","1 - Very safe","1 - Very good","3 - No",5,5,"Yes",4,"7 - Never","7 - Never","Yes","No","No",2011,"Yes","No","No",4,"2 - Not very worried",5,"3 - Once a day","3 - Once a day",5,"6 - I have never smoked","3 - Once a week",0,40,"5 - Never",195,100,"No",7,"Male",36,"Legally married","4 - A little like me","Yes",NA,"N-VA"
120,"2 - Only occasionally",NA,6,6,5,"1 - Very interested","3 - Some","3 - Quite able","3 - Some","3 - Quite confident",6,6,5,6,6,4,5,"Yes",8,"4 - Several times a month","4-6","2 - Less than most","No","1 - Very safe","3 - Fair","2 - Yes to some extent",6,2,"No",0,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",4,"3 - Somewhat worried",7,"5 - Less than 4 times a week but at least once a week","3 - Once a day",4,"4 - I don’t smoke now but I used to","5 - Once a month",6.6,0,"5 - Never",158,46,"No",7,"Female",64,"Legally married","3 - Somewhat like me","Yes","Sp.a (Vooruit)","Sp.a (Vooruit)"
15,"5 - Every day",240,5,6,5,"4 - Not at all interested","3 - Some","1 - Not at all able","2 - Very little","2 - A little confident",6,5,6,4,6,6,5,"No",5,"3 - Once a month","1","1 - Much less than most","No","2 - Safe","2 - Good","3 - No",5,5,"Yes",8,"6 - Less often","5 - Only on special holy days","No","Yes","Yes",NA,"Yes","Yes","Yes",7,"3 - Somewhat worried",5,"4 - Less than once a day but at least 4 times a week","3 - Once a day",5,"1 - I smoke daily, 10 or more cigarettes","2 - Several times a week",10,80,"2 - Weekly",165,72,"No",6,"Male",22,NA,"2 - Like me","Yes",NA,NA
30,"5 - Every day",60,7,6,7,"2 - Quite interested","2 - Very little","3 - Quite able","2 - Very little","3 - Quite confident",5,4,6,6,5,NA,NA,"Yes",8,"5 - Once a week","3","2 - Less than most","No","2 - Safe","2 - Good","3 - No",8,7,"No",0,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",8,"3 - Somewhat worried",8,"2 - Twice a day","3 - Once a day",5,"6 - I have never smoked","3 - Once a week",72,10,"5 - Never",160,57,"No",8,"Female",51,"Living with my partner - not legally recognised","3 - Somewhat like me","Yes",NA,NA
15,"5 - Every day",180,5,5,6,"2 - Quite interested","1 - Not at all","2 - A little able","3 - Some","3 - Quite confident",7,7,5,4,5,6,1,"No",7,"1 - Never","10 or more","1 - Much less than most","No","1 - Very safe","3 - Fair","3 - No",7,7,"Yes",8,"4 - At least once a month","1 - Every day","No","No","No",2010,"Yes","No","No",6,"2 - Not very worried",8,"3 - Once a day","4 - Less than once a day but at least 4 times a week",0,"6 - I have never smoked","4 - 2-3 times a month",0,21.1,"2 - Weekly",196,95,"No",7,"Male",59,"Living with my partner - not legally recognised","2 - Like me","Yes",NA,NA
30,"4 - Most days",60,2,3,2,"3 - Hardly interested","2 - Very little","1 - Not at all able","1 - Not at all","1 - Not at all confident",0,0,0,0,0,0,0,"Yes",9,"4 - Several times a month","1","3 - About the same","No","2 - Safe","2 - Good","2 - Yes to some extent",9,2,"No",5,"6 - Less often","6 - Less often","No","Yes","Yes",NA,"Yes","Yes","Yes",7,"3 - Somewhat worried",8,"6 - Less than once a week","3 - Once a day",3,"6 - I have never smoked","3 - Once a week",0,6.6,"4 - Less than monthly",168,67,"No",9,"Female",54,"Legally married","2 - Like me","Yes","Vlaams Belang",NA
30,"4 - Most days",90,5,6,5,"3 - Hardly interested","3 - Some","2 - A little able","3 - Some","3 - Quite confident",7,9,10,7,8,9,10,"No",7,"2 - Less than once a month","0 - None","1 - Much less than most","No","2 - Safe","2 - Good","3 - No",10,9,NA,5,"7 - Never","6 - Less often","No","No","No",2016,"Yes","No","No",9,"5 - Extremely worried",9,"2 - Twice a day","2 - Twice a day",0,"6 - I have never smoked","7 - Never",NA,NA,"6 - Not applicable",165,65,"No",8,"Female",39,"Legally married","1 - Very much like me","No",NA,"PS"
120,"5 - Every day",540,7,8,7,"3 - Hardly interested","2 - Very little","3 - Quite able","2 - Very little","3 - Quite confident",7,6,6,7,7,7,7,"Yes",7,"6 - Several times a week","4-6","2 - Less than most","No","3 - Unsafe","2 - Good","3 - No",7,8,"No",2,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",8,"4 - Very worried",8,"4 - Less than once a day but at least 4 times a week","3 - Once a day",4,"6 - I have never smoked","4 - 2-3 times a month",20,19.8,"5 - Never",175,67,"Yes",7,"Female",29,"Living with my partner - legally recognised","2 - Like me","Yes","CD&V",NA
120,"5 - Every day",180,7,5,6,"2 - Quite interested","1 - Not at all","4 - Very able","2 - Very little","2 - A little confident",0,7,7,0,1,0,0,"Yes",8,"3 - Once a month","10 or more","1 - Much less than most","No","2 - Safe","2 - Good","3 - No",2,2,"No",2,"7 - Never","7 - Never","Yes","Yes","Yes",NA,"Yes","Yes","Yes",5,"3 - Somewhat worried",5,"3 - Once a day","7 - Never",0,"6 - I have never smoked","7 - Never",NA,NA,"6 - Not applicable",176,90,"No",8,"Male",69,"Legally married","5 - Not like me","Yes","Vlaams Belang",NA
0,"5 - Every day",300,1,8,5,"4 - Not at all interested","1 - Not at all","1 - Not at all able","4 - A lot","2 - A little confident",0,0,5,3,3,0,0,"No",8,"4 - Several times a month","2","2 - Less than most","No","2 - Safe","4 - Bad","2 - Yes to some extent",7,7,"Yes",7,"7 - Never","6 - Less often","No","Yes","Yes",NA,"Yes","Yes","Yes",8,"5 - Extremely worried",8,"6 - Less than once a week","3 - Once a day",1,"1 - I smoke daily, 10 or more cigarettes","5 - Once a month",0,13.2,"4 - Less than monthly",172,67,"Yes",8,"Female",52,"Living with my partner - not legally recognised","2 - Like me","Yes",NA,NA
15,"5 - Every day",120,7,7,8,"2 - Quite interested","2 - Very little","2 - A little able","2 - Very little","3 - Quite confident",5,4,7,5,5,3,5,"Yes",8,"4 - Several times a month","10 or more","5 - Much more than most","No","1 - Very safe","2 - Good","3 - No",8,4,"Yes",9,"5 - Only on special holy days","2 - More than once a week","No","No","Yes",NA,"Yes","No","Yes",7,"3 - Somewhat worried",7,"5 - Less than 4 times a week but at least once a week","2 - Twice a day",7,"6 - I have never smoked","6 - Less than once a month",0,9.6,"5 - Never",176,80,"Yes",8,"Male",64,"Legally married","2 - Like me","Yes","CD&V",NA
150,"4 - Most days",180,1,0,0,"4 - Not at all interested","1 - Not at all","1 - Not at all able","2 - Very little","1 - Not at all confident",4,1,8,1,1,0,1,"Yes",5,"7 - Every day","1","1 - Much less than most","No","4 - Very unsafe","3 - Fair","2 - Yes to some extent",5,1,"Yes",8,"5 - Only on special holy days","1 - Every day","No","Yes","No",1991,"No","Yes","Yes",4,"4 - Very worried",3,"3 - Once a day","3 - Once a day",0,"1 - I smoke daily, 10 or more cigarettes","7 - Never",NA,NA,"6 - Not applicable",152,50,"No",3,"Female",74,NA,"2 - Like me","Yes","N-VA",NA
20,"2 - Only occasionally",NA,5,8,10,"3 - Hardly interested","3 - Some","2 - A little able","1 - Not at all","5 - Completely confident",10,10,8,6,5,7,4,"Yes",8,"2 - Less than once a month","4-6","3 - About the same","No","2 - Safe","2 - Good","3 - No",7,7,"Yes",10,"5 - Only on special holy days","5 - Only on special holy days","No","Yes","No",2007,"No","No","No",6,"3 - Somewhat worried",7,"3 - Once a day","3 - Once a day",NA,"3 - I smoke but not every day","7 - Never",NA,NA,"6 - Not applicable",168,65,"No",8,"Male",60,"Legally married","2 - Like me","Yes","MR","MR"
120,"5 - Every day",300,3,3,7,"2 - Quite interested","3 - Some","4 - Very able","3 - Some","4 - Very confident",4,6,7,4,5,5,4,"Yes",7,"7 - Every day","2","4 - More than most","No","2 - Safe","1 - Very good","3 - No",7,4,"No",7,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",6,"2 - Not very worried",8,"4 - Less than once a day but at least 4 times a week","3 - Once a day",0,"1 - I smoke daily, 10 or more cigarettes","6 - Less than once a month",18,9.8,"4 - Less than monthly",194,98,"No",7,"Male",43,"Living with my partner - not legally recognised","2 - Like me","Yes","Sp.a (Vooruit)","Sp.a (Vooruit)"
30,"5 - Every day",300,7,6,8,"2 - Quite interested","2 - Very little","2 - A little able","2 - Very little","1 - Not at all confident",4,6,6,3,5,6,6,"Yes",8,"6 - Several times a week","3","3 - About the same","No","2 - Safe","2 - Good","3 - No",4,6,"No",0,"7 - Never","7 - Never","No","Yes","No",2000,"Yes","No","Yes",5,"3 - Somewhat worried",7,"5 - Less than 4 times a week but at least once a week","3 - Once a day",6,"6 - I have never smoked","3 - Once a week",0,33,"2 - Weekly",162,69,"No",8,"Female",28,"Living with my partner - legally recognised","4 - A little like me","Yes","N-VA",NA
30,"5 - Every day",600,5,7,2,"3 - Hardly interested","1 - Not at all","2 - A little able","1 - Not at all","1 - Not at all confident",2,8,7,1,3,5,2,"No",4,"6 - Several times a week","2","1 - Much less than most","No","1 - Very safe","2 - Good","3 - No",5,5,"No",6,"7 - Never","7 - Never","Yes","No","No",2001,"No","No","No",3,"2 - Not very worried",3,"6 - Less than once a week","5 - Less than 4 times a week but at least once a week",4,"2 - I smoke daily, 9 or fewer cigarettes","4 - 2-3 times a month",11.5,11.5,"5 - Never",183,72,"No",2,"Male",39,NA,"3 - Somewhat like me","Yes",NA,NA
0,"5 - Every day",240,5,5,7,"4 - Not at all interested","2 - Very little","1 - Not at all able","1 - Not at all","1 - Not at all confident",5,7,8,5,5,5,5,"Yes",8,"2 - Less than once a month","1","1 - Much less than most","No",NA,"4 - Bad","1 - Yes a lot",10,7,"Yes",8,"6 - Less often","1 - Every day","No","Yes","Yes",NA,"Yes","Yes","Yes",7,"3 - Somewhat worried",0,"2 - Twice a day","2 - Twice a day",0,"6 - I have never smoked","7 - Never",NA,NA,"6 - Not applicable",160,NA,"No",8,"Female",58,"Legally married","1 - Very much like me","Yes",NA,NA
60,"2 - Only occasionally",NA,7,4,5,"2 - Quite interested","2 - Very little","2 - A little able","2 - Very little","2 - A little confident",6,6,6,6,5,5,5,"No",7,"3 - Once a month","4-6","3 - About the same","No","2 - Safe","3 - Fair","3 - No",6,5,"No",4,"7 - Never","4 - At least once a month","No","Yes","Yes",NA,"Yes","Yes","Yes",7,"3 - Somewhat worried",6,"3 - Once a day","3 - Once a day",1,"4 - I don’t smoke now but I used to","7 - Never",NA,NA,"6 - Not applicable",166,60,"No",5,"Female",73,"Legally married","2 - Like me","Yes",NA,"N-VA"
30,"5 - Every day",180,7,6,6,"3 - Hardly interested","3 - Some","2 - A little able","3 - Some","1 - Not at all confident",7,8,7,6,6,7,7,"Yes",8,"5 - Once a week","4-6","2 - Less than most","No","2 - Safe","3 - Fair","3 - No",4,3,"No",0,"7 - Never","7 - Never","Yes","Yes","Yes",NA,"Yes","Yes","Yes",8,"4 - Very worried",8,"3 - Once a day","2 - Twice a day",5,"5 - I have only smoked a few times","4 - 2-3 times a month",71.6,36,"3 - Monthly",186,110,"No",8,"Male",41,NA,"2 - Like me","Yes",NA,NA
150,"4 - Most days",60,4,6,7,"2 - Quite interested","2 - Very little","1 - Not at all able","3 - Some","1 - Not at all confident",7,6,8,3,3,5,5,"Yes",8,"4 - Several times a month","3","2 - Less than most","No","2 - Safe","2 - Good","2 - Yes to some extent",8,8,"No",1,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",8,"4 - Very worried",4,"3 - Once a day","3 - Once a day",7,"6 - I have never smoked","4 - 2-3 times a month",26.4,12.3,"5 - Never",163,55,"Yes",8,"Female",63,NA,"5 - Not like me","Yes","Sp.a (Vooruit)","Sp.a (Vooruit)"
180,"5 - Every day",120,3,3,3,"2 - Quite interested","2 - Very little","3 - Quite able","3 - Some","3 - Quite confident",5,5,5,4,3,5,6,"Yes",8,"6 - Several times a week","2","1 - Much less than most","Yes","2 - Safe","3 - Fair","2 - Yes to some extent",5,5,"No",2,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",5,"3 - Somewhat worried",8,"7 - Never","3 - Once a day",3,"4 - I don’t smoke now but I used to","2 - Several times a week",13.2,13.2,"5 - Never",170,82,"No",7,"Male",54,"Living with my partner - not legally recognised","2 - Like me","Yes",NA,NA
10,"5 - Every day",360,6,7,7,"3 - Hardly interested","3 - Some","2 - A little able","2 - Very little","1 - Not at all confident",8,5,7,5,5,7,7,"Not eligible to vote",8,"6 - Several times a week","3","2 - Less than most","No","2 - Safe","2 - Good","3 - No",7,8,"Yes",2,"5 - Only on special holy days","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",8,"4 - Very worried",7,"3 - Once a day","3 - Once a day",7,"6 - I have never smoked","5 - Once a month",20,80,"5 - Never",183,60,"No",8,"Male",19,NA,"2 - Like me","Yes",NA,"Groen!"
60,"5 - Every day",180,8,8,4,"1 - Very interested","3 - Some","3 - Quite able","3 - Some","4 - Very confident",9,9,8,7,5,8,7,"Yes",7,"7 - Every day","3","5 - Much more than most","No","1 - Very safe","1 - Very good","2 - Yes to some extent",3,8,"No",0,"7 - Never","7 - Never","Yes","Yes","Yes",NA,"Yes","Yes","Yes",7,"3 - Somewhat worried",9,"2 - Twice a day","2 - Twice a day",7,"5 - I have only smoked a few times","2 - Several times a week",13.2,13.2,"4 - Less than monthly",171,85,"No",7,"Female",42,"Legally married","1 - Very much like me","Yes","Sp.a (Vooruit)","Sp.a (Vooruit)"
30,"5 - Every day",360,6,4,9,"3 - Hardly interested","2 - Very little","1 - Not at all able","2 - Very little","1 - Not at all confident",4,6,8,4,4,4,5,"Yes",9,"5 - Once a week","2","3 - About the same","No","2 - Safe","3 - Fair","2 - Yes to some extent",9,7,"No",7,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",3,"3 - Somewhat worried",8,"5 - Less than 4 times a week but at least once a week","3 - Once a day",0,"1 - I smoke daily, 10 or more cigarettes","3 - Once a week",20,9.6,"4 - Less than monthly",201,123,"No",9,"Male",49,"Legally married","2 - Like me","Yes",NA,NA
40,"5 - Every day",60,7,6,6,"3 - Hardly interested","2 - Very little","2 - A little able","2 - Very little","3 - Quite confident",5,7,7,5,5,4,5,"No",7,"5 - Once a week","2","2 - Less than most","No","1 - Very safe","1 - Very good","3 - No",8,5,"Yes",4,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",5,"2 - Not very worried",6,"3 - Once a day","3 - Once a day",0,"6 - I have never smoked","7 - Never",NA,NA,"6 - Not applicable",183,70,"No",7,"Male",57,NA,"3 - Somewhat like me","No",NA,NA
360,"5 - Every day",780,6,3,4,"1 - Very interested","2 - Very little","4 - Very able","4 - A lot","4 - Very confident",5,5,9,5,3,3,5,"Yes",10,"6 - Several times a week","3","4 - More than most","No","1 - Very safe","1 - Very good","3 - No",5,7,"Yes",10,"3 - Once a week","1 - Every day","No","Yes","No",2005,"Yes","No","No",1,"4 - Very worried",7,"2 - Twice a day","4 - Less than once a day but at least 4 times a week",3,"6 - I have never smoked","3 - Once a week",23,13.2,"5 - Never",185,95,"No",8,"Male",33,"Living with my partner - legally recognised","2 - Like me","Yes","N-VA","N-VA"
107,"5 - Every day",80,8,5,6,"3 - Hardly interested","2 - Very little","2 - A little able","2 - Very little","2 - A little confident",0,2,0,0,0,0,3,"Yes",8,"5 - Once a week","4-6","3 - About the same","Yes","2 - Safe","3 - Fair","3 - No",8,10,"Yes",7,"5 - Only on special holy days","5 - Only on special holy days","No","No","No",1985,"Yes","No","No",10,"4 - Very worried",10,"3 - Once a day","6 - Less than once a week",5,"6 - I have never smoked","3 - Once a week",0,158,"2 - Weekly",164,75,"No",7,"Male",63,"Legally married","1 - Very much like me","Yes","PS","PTB"
10,"5 - Every day",540,6,8,8,"3 - Hardly interested","1 - Not at all","1 - Not at all able","2 - Very little","1 - Not at all confident",9,8,9,3,1,8,3,"Yes",8,"6 - Several times a week","3","4 - More than most","No","2 - Safe","2 - Good","3 - No",4,7,"No",0,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",10,"4 - Very worried",7,"2 - Twice a day","3 - Once a day",7,"4 - I don’t smoke now but I used to","4 - 2-3 times a month",0,26.4,"4 - Less than monthly",169,61,"Yes",8,"Female",31,NA,"2 - Like me","No","MR",NA
30,"5 - Every day",480,8,8,7,"2 - Quite interested","3 - Some","3 - Quite able","3 - Some","2 - A little confident",6,6,7,5,5,6,6,"Yes",8,"7 - Every day","10 or more","4 - More than most","No","2 - Safe","1 - Very good","3 - No",7,7,"No",3,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",8,"4 - Very worried",8,"2 - Twice a day","3 - Once a day",7,"6 - I have never smoked","2 - Several times a week",26.4,39.6,"4 - Less than monthly",169,72,"No",8,"Female",35,"Living with my partner - legally recognised","5 - Not like me","Yes","Groen!","Groen!"
90,"4 - Most days",380,5,10,10,"3 - Hardly interested","1 - Not at all","1 - Not at all able","1 - Not at all","2 - A little confident",1,10,10,0,1,1,10,"No",8,"6 - Several times a week","1","1 - Much less than most","No","4 - Very unsafe","2 - Good","3 - No",7,8,"Yes",10,"3 - Once a week","1 - Every day","Yes","Yes","Yes",NA,"Yes","No","No",5,"3 - Somewhat worried",6,"4 - Less than once a day but at least 4 times a week","4 - Less than once a day but at least 4 times a week",3,"1 - I smoke daily, 10 or more cigarettes","7 - Never",NA,NA,"6 - Not applicable",175,70,"No",8,"Male",35,NA,"3 - Somewhat like me","Yes",NA,"PS"
30,"5 - Every day",15,5,7,7,"2 - Quite interested","3 - Some","3 - Quite able","3 - Some","3 - Quite confident",8,5,8,7,6,5,9,"Yes",8,"5 - Once a week","3","4 - More than most","Yes","3 - Unsafe","3 - Fair","3 - No",10,6,"No",4,"7 - Never","7 - Never","No","Yes","Yes",NA,"No","Yes","Yes",9,"3 - Somewhat worried",7,"5 - Less than 4 times a week but at least once a week","3 - Once a day",0,"3 - I smoke but not every day","3 - Once a week",80,80,"2 - Weekly",176,81,"No",9,"Male",74,NA,"2 - Like me","Yes","PS","PS"
10,"5 - Every day",90,5,8,1,"3 - Hardly interested","1 - Not at all","2 - A little able","2 - Very little","1 - Not at all confident",3,8,8,6,1,7,9,"Yes",7,"4 - Several times a month","2","1 - Much less than most","No","1 - Very safe","2 - Good","3 - No",9,5,"Yes",6,"5 - Only on special holy days","3 - Once a week","No","Yes","Yes",NA,"Yes","Yes","Yes",0,"2 - Not very worried",7,"6 - Less than once a week","3 - Once a day",0,"1 - I smoke daily, 10 or more cigarettes","2 - Several times a week",19.2,19.2,"1 - Daily or almost daily",190,92,"No",6,"Male",42,"Legally married","2 - Like me","Yes","Other",NA
60,"1 - Never",NA,7,7,9,"2 - Quite interested","2 - Very little","2 - A little able","2 - Very little","1 - Not at all confident",6,8,8,6,6,NA,6,"Yes",8,"6 - Several times a week","4-6","2 - Less than most","No","2 - Safe","3 - Fair","1 - Yes a lot",7,6,"Yes",6,"5 - Only on special holy days","1 - Every day","No","Yes","Yes",NA,"Yes","Yes","Yes",4,"4 - Very worried",0,"2 - Twice a day","3 - Once a day",0,"5 - I have only smoked a few times","2 - Several times a week",10,10,"5 - Never",170,71,"No",8,"Male",77,"Legally married","2 - Like me","Yes","CD&V","CD&V"
60,"5 - Every day",390,4,6,5,"3 - Hardly interested","2 - Very little","2 - A little able","3 - Some","3 - Quite confident",5,6,5,3,3,3,3,"No",6,"6 - Several times a week","2","2 - Less than most","Yes","2 - Safe","1 - Very good","3 - No",6,4,"No",0,"7 - Never","7 - Never","Yes","Yes","Yes",NA,"Yes","No","No",8,"3 - Somewhat worried",4,"6 - Less than once a week","4 - Less than once a day but at least 4 times a week",6,"5 - I have only smoked a few times","6 - Less than once a month",12.3,183.4,"4 - Less than monthly",172,62,"No",7,"Male",19,NA,"1 - Very much like me","No",NA,NA
